program,calendar_year,requirement_id,requirement_name
ENSC,2024-2025,ENSC_2024_2025_MAJOR_001,BIOL_V 121 1
ENSC,2024-2025,ENSC_2024_2025_MAJOR_002,BIOL_V 180 (or 140) 1
ENSC,2024-2025,ENSC_2024_2025_MAJOR_003,CHEM_V 121 (or 111 or 141) 2
ENSC,2024-2025,ENSC_2024_2025_MAJOR_004,CHEM_V 123 2
ENSC,2024-2025,ENSC_2024_2025_MAJOR_005,Communication Requirement 3
ENSC,2024-2025,ENSC_2024_2025_MAJOR_006,DSCI_V 100
ENSC,2024-2025,ENSC_2024_2025_MAJOR_007,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC,2024-2025,ENSC_2024_2025_MAJOR_008,MATH_V 101 or 103 or 105 or 121 4
ENSC,2024-2025,ENSC_2024_2025_MAJOR_009,PHYS_V 100-level 5
ENSC,2024-2025,ENSC_2024_2025_MAJOR_010,"Electives 6,7"
ENSC,2024-2025,ENSC_2024_2025_MAJOR_011_TOTAL,Total Credits
ENSC,2024-2025,ENSC_2024_2025_MAJOR_012,BIOL_V 230
ENSC,2024-2025,ENSC_2024_2025_MAJOR_013,"Two of CHEM_V 205, 208, 210, 211, 233 8"
ENSC,2024-2025,ENSC_2024_2025_MAJOR_014,Communication Requirement 3
ENSC,2024-2025,ENSC_2024_2025_MAJOR_015,ENVR_V 200
ENSC,2024-2025,ENSC_2024_2025_MAJOR_016,GEOS_V (or GEOB_V) 200 or ATSC_V 201
ENSC,2024-2025,ENSC_2024_2025_MAJOR_017,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9"
ENSC,2024-2025,ENSC_2024_2025_MAJOR_018,"Electives 6,7,8,10"
ENSC,2024-2025,ENSC_2024_2025_MAJOR_019_TOTAL,Total Credits
ENSC,2024-2025,ENSC_2024_2025_MAJOR_020,BIOL_V 306
ENSC,2024-2025,ENSC_2024_2025_MAJOR_021,"ENVR_V 300, 400"
ENSC,2024-2025,ENSC_2024_2025_MAJOR_022,EOSC_V 372
ENSC,2024-2025,ENSC_2024_2025_MAJOR_023,"One of ENVR_V 410, 420, 430, 440"
ENSC,2024-2025,ENSC_2024_2025_MAJOR_024,'Tools' Elective 11
ENSC,2024-2025,ENSC_2024_2025_MAJOR_025,"Electives 6,7"
ENSC,2024-2025,ENSC_2024_2025_MAJOR_026,Area of Concentration 12
ENSC,2024-2025,ENSC_2024_2025_MAJOR_027_TOTAL,Total Credits
ENSC,2024-2025,ENSC_2024_2025_MAJOR_028_MIN_DEGREE,Minimum Credits for Degree
ENSC,2024-2025,ENSC_2024_2025_HONOURS_001,BIOL_V 121 1
ENSC,2024-2025,ENSC_2024_2025_HONOURS_002,BIOL_V 180 (or 140) 1
ENSC,2024-2025,ENSC_2024_2025_HONOURS_003,CHEM_V 121 (or 111 or 141) 2
ENSC,2024-2025,ENSC_2024_2025_HONOURS_004,CHEM_V 123 2
ENSC,2024-2025,ENSC_2024_2025_HONOURS_005,Communication Requirement 3
ENSC,2024-2025,ENSC_2024_2025_HONOURS_006,DSCI_V 100
ENSC,2024-2025,ENSC_2024_2025_HONOURS_007,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4
ENSC,2024-2025,ENSC_2024_2025_HONOURS_008,MATH_V 101 or 103 or 105 or 121 4
ENSC,2024-2025,ENSC_2024_2025_HONOURS_009,PHYS_V 100-level 5
ENSC,2024-2025,ENSC_2024_2025_HONOURS_010,"Electives 6,7"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_011_TOTAL,Total Credits
ENSC,2024-2025,ENSC_2024_2025_HONOURS_012,APBI_V 200
ENSC,2024-2025,ENSC_2024_2025_HONOURS_013,ATSC_V 201
ENSC,2024-2025,ENSC_2024_2025_HONOURS_014,BIOL_V 230
ENSC,2024-2025,ENSC_2024_2025_HONOURS_015,"Two of CHEM_V 205, 208, 210, 211, 233 8"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_016,Communication Requirement 3
ENSC,2024-2025,ENSC_2024_2025_HONOURS_017,ENVR_V 200
ENSC,2024-2025,ENSC_2024_2025_HONOURS_018,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_019,"Electives 6,7,8,10"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_020_TOTAL,Total Credits
ENSC,2024-2025,ENSC_2024_2025_HONOURS_021,BIOL_V 306
ENSC,2024-2025,ENSC_2024_2025_HONOURS_022,"CHEM_V 301, 302"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_023,"ENVR_V 300, 449"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_024,"EOSC_V 372, 373"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_025,"Two of ENVR_V 410, 420, 430, 440"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_026,'Tools' Electives 11
ENSC,2024-2025,ENSC_2024_2025_HONOURS_027,"Electives 6,7"
ENSC,2024-2025,ENSC_2024_2025_HONOURS_028,Area of Concentration 12
ENSC,2024-2025,ENSC_2024_2025_HONOURS_029_TOTAL,Total Credits
ENSC,2024-2025,ENSC_2024_2025_HONOURS_030_MIN_DEGREE,Minimum Credits for Degree
